0,1,2,3,4,5,6,7,8,9,10
sausage,flour,,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
ham,other vegetables,napkins,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
flower (seeds),white wine,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
sausage,newspapers,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
curd,margarine,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
white bread,salty snack,,,,,,,,,
frankfurter,frankfurter,ham,beef,baby cosmetics,other vegetables,domestic eggs,artif. sweetener,margarine,,
misc. beverages,instant coffee,soda,tropical fruit,cling film/bags,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
domestic eggs,cream cheese ,,,,,,,,,
sausage,pastry,,,,,,,,,
bottled water,berries,,,,,,,,,
whole milk,soft cheese,pastry,,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
bottled beer,domestic eggs,,,,,,,,,
chicken,whole milk,whole milk,coffee,,,,,,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
tropical fruit,dishes,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
rolls/buns,cat food,,,,,,,,,
spread cheese,specialty cheese,dish cleaner,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
rolls/buns,hard cheese,rolls/buns,flour,,,,,,,
frozen vegetables,dessert,,,,,,,,,
coffee,tidbits,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
canned beer,salty snack,,,,,,,,,
rolls/buns,tropical fruit,salt,butter,whole milk,canned vegetables,domestic eggs,,,,
yogurt,pip fruit,misc. beverages,,,,,,,,
pastry,salty snack,,,,,,,,,
pastry,pasta,,,,,,,,,
other vegetables,butter,,,,,,,,,
butter,domestic eggs,,,,,,,,,
newspapers,specialty vegetables,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
soda,white bread,chocolate,sugar,,,,,,,
specialty bar,margarine,,,,,,,,,
white bread,specialty bar,newspapers,,,,,,,,
butter milk,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
curd,soda,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
sausage,bottled beer,,,,,,,,,
pork,root vegetables,shopping bags,,,,,,,,
root vegetables,berries,other vegetables,hygiene articles,white bread,whipped/sour cream,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
tropical fruit,herbs,,,,,,,,,
pastry,canned beer,,,,,,,,,
tropical fruit,curd,brown bread,pastry,,,,,,,
curd,other vegetables,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
pet care,pastry,,,,,,,,,
pork,other vegetables,yogurt,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
domestic eggs,yogurt,,,,,,,,,
root vegetables,rolls/buns,flower (seeds),,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
other vegetables,semi-finished bread,shopping bags,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,yogurt,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
whole milk,bottled water,,,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
tropical fruit,citrus fruit,,,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
newspapers,pastry,,,,,,,,,
shopping bags,red/blush wine,butter,,,,,,,,
UHT-milk,yogurt,,,,,,,,,
other vegetables,coffee,,,,,,,,,
beverages,soda,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
salty snack,curd,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
meat,hamburger meat,,,,,,,,,
pastry,syrup,,,,,,,,,
liquor,soda,,,,,,,,,
rolls/buns,beef,,,,,,,,,
herbs,canned beer,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
whole milk,pip fruit,pip fruit,fruit/vegetable juice,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
margarine,yogurt,,,,,,,,,
canned beer,domestic eggs,white wine,waffles,,,,,,,
pork,rolls/buns,,,,,,,,,
sausage,salty snack,cling film/bags,,,,,,,,
chocolate,citrus fruit,yogurt,,,,,,,,
sausage,bottled water,,,,,,,,,
beverages,yogurt,,,,,,,,,
tropical fruit,yogurt,curd,margarine,,,,,,,
canned beer,soda,other vegetables,canned vegetables,,,,,,,
dessert,other vegetables,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
beef,yogurt,,,,,,,,,
soda,shopping bags,napkins,,,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
yogurt,soda,,,,,,,,,
whole milk,yogurt,,,,,,,,,
bottled beer,herbs,,,,,,,,,
other vegetables,packaged fruit/vegetables,,,,,,,,,
chocolate marshmallow,yogurt,,,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
chewing gum,curd,yogurt,,,,,,,,
bottled water,other vegetables,,,,,,,,,
pork,domestic eggs,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
dish cleaner,fruit/vegetable juice,,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
whole milk,candy,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
bottled beer,soda,,,,,,,,,
whole milk,coffee,whole milk,,,,,,,,
rolls/buns,canned vegetables,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
rolls/buns,citrus fruit,pot plants,yogurt,roll products ,fruit/vegetable juice,,,,,
onions,whipped/sour cream,,,,,,,,,
tropical fruit,soda,UHT-milk,,,,,,,,
sausage,sugar,,,,,,,,,
canned vegetables,chicken,rolls/buns,,,,,,,,
canned beer,whole milk,bottled beer,,,,,,,,
butter,yogurt,,,,,,,,,
soda,processed cheese,,,,,,,,,
meat spreads,hard cheese,frozen vegetables,butter,,,,,,,
whole milk,rolls/buns,,,,,,,,,
margarine,bottled water,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
brown bread,pastry,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
sausage,fruit/vegetable juice,chewing gum,,,,,,,,
whipped/sour cream,specialty fat,,,,,,,,,
rolls/buns,bottled water,vinegar,,,,,,,,
pork,pip fruit,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
zwieback,salty snack,,,,,,,,,
berries,yogurt,,,,,,,,,
soda,white bread,frozen vegetables,,,,,,,,
tropical fruit,soft cheese,shopping bags,,,,,,,,
beverages,whole milk,semi-finished bread,domestic eggs,,,,,,,
other vegetables,beverages,,,,,,,,,
chicken,tropical fruit,specialty chocolate,curd,citrus fruit,whole milk,semi-finished bread,,,,
instant coffee,processed cheese,,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
red/blush wine,canned fish,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
specialty bar,canned beer,white bread,newspapers,,,,,,,
finished products,ice cream,tropical fruit,whole milk,,,,,,,
ham,domestic eggs,,,,,,,,,
yogurt,white bread,salty snack,,,,,,,,
meat,butter,,,,,,,,,
beef,whole milk,frozen dessert,whipped/sour cream,,,,,,,
red/blush wine,frozen fish,,,,,,,,,
berries,whipped/sour cream,other vegetables,other vegetables,newspapers,,,,,,
pot plants,domestic eggs,,,,,,,,,
dessert,curd,,,,,,,,,
soda,mayonnaise,,,,,,,,,
soda,pork,,,,,,,,,
onions,long life bakery product,,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
coffee,turkey,margarine,hard cheese,,,,,,,
pot plants,baking powder,,,,,,,,,
chicken,brown bread,soda,,,,,,,,
meat,liquor,,,,,,,,,
sausage,cake bar,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
roll products ,rice,,,,,,,,,
hamburger meat,spread cheese,pasta,,,,,,,,
chicken,soda,shopping bags,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
processed cheese,whole milk,,,,,,,,,
coffee,oil,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
whole milk,pastry,,,,,,,,,
specialty fat,condensed milk,,,,,,,,,
soda,yogurt,whole milk,coffee,,,,,,,
whole milk,butter,,,,,,,,,
waffles,spread cheese,,,,,,,,,
yogurt,soda,,,,,,,,,
beverages,bottled water,,,,,,,,,
UHT-milk,UHT-milk,,,,,,,,,
beef,other vegetables,,,,,,,,,
pork,other vegetables,,,,,,,,,
sausage,beverages,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
pip fruit,whole milk,bottled water,,,,,,,,
pot plants,herbs,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
curd,grapes,curd,shopping bags,,,,,,,
misc. beverages,citrus fruit,napkins,,,,,,,,
curd cheese,soda,,,,,,,,,
yogurt,whole milk,ham,citrus fruit,frozen vegetables,whole milk,,,,,
seasonal products,soups,,,,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
root vegetables,grapes,,,,,,,,,
onions,coffee,,,,,,,,,
coffee,frozen fish,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,butter,,,,,,,,,
soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
soda,pip fruit,,,,,,,,,
root vegetables,margarine,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
oil,shopping bags,,,,,,,,,
ice cream,whole milk,,,,,,,,,
pork,whipped/sour cream,dishes,,,,,,,,
pastry,sugar,,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
berries,rolls/buns,,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
beef,soft cheese,,,,,,,,,
specialty bar,canned beer,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
newspapers,yogurt,,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,other vegetables,soda,,,,,,,,
pasta,hygiene articles,,,,,,,,,
other vegetables,mustard,,,,,,,,,
sausage,pork,,,,,,,,,
pastry,whole milk,,,,,,,,,
coffee,beef,dishes,brown bread,pastry,,,,,,
beverages,cake bar,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
onions,canned fruit,,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
coffee,softener,,,,,,,,,
butter,coffee,pastry,bottled beer,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
pastry,curd,,,,,,,,,
berries,domestic eggs,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,ice cream,,,,,,,,,
pip fruit,soda,,,,,,,,,
frankfurter,curd,beef,whipped/sour cream,,,,,,,
other vegetables,frankfurter,napkins,pastry,,,,,,,
salty snack,root vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
chewing gum,whole milk,white bread,whole milk,dishes,,,,,,
pastry,pip fruit,rolls/buns,yogurt,,,,,,,
other vegetables,pip fruit,white bread,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
yogurt,whole milk,,,,,,,,,
root vegetables,soda,other vegetables,,,,,,,,
chocolate,whole milk,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,popcorn,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,sausage,white bread,soda,,,,,,,
herbs,chewing gum,,,,,,,,,
pastry,pasta,,,,,,,,,
beverages,frozen meals,,,,,,,,,
pip fruit,ice cream,newspapers,pastry,,,,,,,
yogurt,herbs,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
curd,cream cheese ,domestic eggs,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
jam,root vegetables,,,,,,,,,
pip fruit,frozen meals,whole milk,rolls/buns,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,instant coffee,yogurt,salty snack,,,,,,,
yogurt,root vegetables,oil,,,,,,,,
butter,mayonnaise,,,,,,,,,
curd,whole milk,red/blush wine,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
whole milk,canned beer,herbs,bottled beer,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
citrus fruit,margarine,sliced cheese,,,,,,,,
female sanitary products,curd,,,,,,,,,
curd,frozen vegetables,,,,,,,,,
pastry,newspapers,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
canned beer,cake bar,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
whole milk,onions,,,,,,,,,
brown bread,shopping bags,,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
meat,fish,meat spreads,abrasive cleaner,margarine,,,,,,
specialty chocolate,hamburger meat,frozen fish,,,,,,,,
other vegetables,yogurt,yogurt,,,,,,,,
sausage,bottled water,,,,,,,,,
canned beer,yogurt,rolls/buns,whole milk,,,,,,,
newspapers,whole milk,waffles,,,,,,,,
whipped/sour cream,curd,shopping bags,,,,,,,,
UHT-milk,root vegetables,rolls/buns,rolls/buns,spread cheese,misc. beverages,sugar,,,,
citrus fruit,butter,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
chewing gum,other vegetables,pip fruit,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
